Vilnius
Antanas Antanauskas
Vilniaus Meno galerija;Galerija;1;0;1;0;1;0;1;3.3;Neturi gido;
Vilniaus Muzikos Muziejus;Muziejus;1;0;1;0;1;0;1;3.3;Turi gidą;
Vilniaus Karo Muziejus;Muziejus;0;0;1;0;1;0;1;0;Turi gidą;
Vilniaus Antano Muziejus;Muziejus;1;0;1;0;1;0;1;3.3;Neturi gido;
Vilniaus Memorialinis parkas;Parkas;1;0;0;0;1;0;1;0;Neturi gido;
Vilniaus Uno Muziejus;Muziejus;1;1;1;1;1;1;1;3.3;Neturi gido;
Vilniaus Petro Muziejus;Muziejus;1;0;1;0;1;0;0;3.3;Neturi gido;
Vilniaus Gedimino Muziejus;Muziejus;0;0;0;0;1;0;1;0;Neturi gido;
Vilniaus MO Muziejus;Muziejus;1;1;1;1;1;1;1;6.9;Turi gidą;
Vilniaus Žirgų Muziejus;Muziejus;1;1;1;1;1;1;1;6.9;Neturi gido;
Vilniaus Miesto Muziejus;Muziejus;0;0;0;0;0;1;1;0;Neturi gido;
