artistName,averageUserRating,averageUserRatingForCurrentVersion,contentAdvisoryRating,fileSizeBytes,isGameCenterEnabled,minimumOsVersion,price,primaryGenreId,releaseDate,trackName,userRatingCount,,
Ynfo SAS di Graziano Gennaro & Co.,4.67589,4.67589,4+,36927488,FALSE,12,0,6014,2024-02-08T08:00:00Z,Sticker GO!,253,,
Hungry Studio,4.86087,4.86087,12+,154926080,TRUE,12,0,6014,2022-04-03T07:00:00Z,Block Blast！,253100,,
"Scopely, Inc.",4.81924,4.81924,9+,249300992,TRUE,13,0,6014,2023-04-11T07:00:00Z,MONOPOLY GO!,2076657,,
ABIGAMES PTE. LTD,4.52683,4.52683,9+,243209216,FALSE,12,0,6014,2023-11-22T08:00:00Z,Wood Nuts & Bolts Puzzle,54892,,
Lion Studios Plus,4.7413,4.7413,12+,323801088,FALSE,12.5,0,6014,2023-11-01T07:00:00Z,Hexa Sort,6150,,
Roblox Corporation,4.53183,4.53183,12+,243247104,FALSE,11,0,6014,2011-05-26T20:51:47Z,Roblox,10978028,,
Dream Games,4.67952,4.67952,4+,251964416,FALSE,12,0,6014,2021-02-25T08:00:00Z,Royal Match,2159455,,
Playrix,4.72333,4.72333,4+,232969216,TRUE,11,0,6014,2013-10-24T01:11:48Z,Township,1298470,,
Rollic Games,4.57287,4.57287,12+,233846784,FALSE,12,0,6014,2023-04-25T07:00:00Z,Twisted Tangle,110765,,
Sybo Games ApS,4.64794,4.64794,9+,258850816,TRUE,12,0,6014,2012-05-24T07:00:00Z,Subway Surfers,2820894,,
The New York Times Company,4.85726,4.85726,4+,51955712,FALSE,16,0,6014,2009-03-27T02:01:58Z,NYT Games: Word Games & Sudoku,173614,,
"PeopleFun, Inc.",4.81802,4.81802,12+,249210880,FALSE,12,0,6014,2017-06-14T14:39:50Z,Wordscapes,793202,,
"Activision Publishing, Inc.",4.68151,4.68151,17+,2988360704,FALSE,9,0,6014,2019-09-30T07:00:00Z,Call of Duty®: Mobile,1737308,,
Peak Games,4.7779,4.7779,4+,656326656,FALSE,12,0,6014,2023-11-01T07:00:00Z,Match Factory!,87309,,
Lessmore UG (haftungsbeschränkt),4.49536,4.49536,9+,330614784,FALSE,12,0,6014,2023-11-16T08:00:00Z,We Are Warriors!,13699,,
Supercell,4.72069,4.72069,9+,979416064,TRUE,12,0,6014,2018-12-13T09:14:36Z,Brawl Stars,1445727,,
RobTop Games AB,4.27669,4.27669,4+,147461120,FALSE,10,0,6014,2013-09-12T22:51:56Z,Geometry Dash Lite,155232,,
Amanotes Pte. Ltd.,3.97597,3.97597,4+,298105856,FALSE,12,0,6014,2018-12-15T08:55:33Z,Magic Tiles 3: Piano Game,199515,,
PlayStudios,4.54502,4.54502,4+,358987776,FALSE,12.5,0,6014,2020-01-22T08:00:00Z,Tetris®,344355,,
SUPERSONIC STUDIOS LTD,4.64001,4.64001,12+,426523648,FALSE,12,0,6014,2020-02-19T08:00:00Z,Going Balls,149599,,
Joyteractive,4.58084,4.58084,4+,256842752,TRUE,12.5,0,6014,2022-09-25T07:00:00Z,Cryptogram: Word Brain Puzzle,40216,,
FirstFun,4.00527,4.00527,12+,1165805568,FALSE,10,0,6014,2023-08-02T07:00:00Z,Last War:Survival,3606,,
King,4.70625,4.70625,4+,327202816,FALSE,12.0.0,0,6014,2012-11-14T14:41:32Z,Candy Crush Saga,3138072,,
SayGames LTD,4.72424,4.72424,12+,259645440,TRUE,12,0,6014,2022-07-29T07:00:00Z,My Perfect Hotel,267299,,
InnerSloth LLC,4.0546,4.0546,9+,837915648,TRUE,13,0,6014,2018-07-25T09:39:48Z,Among Us!,767336,,
Tencent Mobile International Limited,4.31229,4.31229,12+,2702603264,FALSE,9,0,6014,2018-03-19T17:13:23Z,PUBG MOBILE,1429989,,
"Supercent, Inc.",4.63565,4.63565,4+,319407104,FALSE,12.5,0,6014,2023-07-06T07:00:00Z,Pizza Ready!,38622,,
Tripledot Studios,4.70176,4.70176,12+,275284992,FALSE,13,0,6014,2020-03-11T07:00:00Z,Woodoku - Wood Block Puzzles,584181,,
